title,description,category,price,sizes,template_size,seo_keywords,traffic_source,prompt_style,cta,conversion_rate
Retro Gaming Hoodie,8-bit pixel art with neon ghosts & joystick vibes,Apparel,39.99,S-XXL,4500x5400,"retro gaming, pixel hoodie, glitchwear",TikTok Shop,"glowing arcade grid, 'Game Over' text, limited edition badge",Level Up Your Style — Limited Drop,7.2%
Sarcastic Black Coffee Mug,This might be coffee… or stronger. Heat reveal text,Drinkware,16.99,11/15oz,2700x1200,"sarcastic mug, heat reactive, gift",Etsy,"hidden message, black when cold, neon when hot",This might be coffee… or stronger.,8.5%
Anime Sticker Pack,Kawaii stickers with cats sushi sparkle tones,Stationery,12.99,4 sizes,2000x2000,"kawaii anime stickers, chibi, pastel",Redbubble,"anime cats eating sushi, sparkle outline, pastel glittering label cutouts",Steal the Cuteness,9.2%
Cyberpunk Portrait - Custom AI Avatar,Personalized futuristic digital portrait with neon cityscape,Digital Download,24.99,Digital file,3000x3000,"AI avatar, cyberpunk portrait, custom digital art",Etsy,"neon city background, holographic effects, personalized features, futuristic aesthetic",Transform Your Photo into Cyberpunk Art,7.8%
Vaporwave Sunset Blanket,Retro aesthetic throw blanket with palm trees and grid,Home & Living,49.99,3 sizes,6000x6000,"vaporwave blanket, retro aesthetic, 80s nostalgia",Redbubble,"80s sunset grid, palm trees silhouette, pink purple gradient, geometric patterns",Wrap Yourself in Retro Rebellion,6.8%
Glitch Cat Phone Case,Digital glitch art featuring cyberpunk cat,Accessories,19.99,All models,2000x3000,"glitch art, cat phone case, digital art",TikTok Shop,"glitchy cat portrait, neon outlines, RGB split effect, tech aesthetic",Protect Your Phone in Style,6.5%
Kawaii Axolotl Sticker Set,Chibi axolotls in ramen bowls with Japanese text,Stationery,9.99,4-pack,2000x2000,"kawaii stickers, axolotl, chibi anime",Redbubble,"sleepy axolotls, ramen bowls, pastel colors, 'Noodle Mood' text, anime blush",Add Cuteness Everywhere,8.7%
AI Art Print - Neon Dreams,Futuristic cityscape with holographic elements,Wall Art,29.99,Multiple sizes,4500x6000,"AI art print, futuristic art, neon cityscape",Etsy,"cyberpunk city, neon signs, holographic billboards, flying cars, purple pink sky",Elevate Your Space,7.1%
Tech Wizard T-Shirt,Minimalist tech-inspired graphic tee,Apparel,24.99,XS-3XL,4500x5400,"tech t-shirt, minimalist design, geek apparel",Redbubble,"geometric circuit board pattern, glowing nodes, 'TECH WIZARD' text, modern minimal",Upgrade Your Wardrobe,6.9%
Custom Pet Portrait - Cyberpunk Style,Turn your pet into a cyberpunk character,Digital Download,34.99,Digital file,3000x3000,"pet portrait, cyberpunk pet, custom digital art",Etsy,"pet with neon collar, city background, holographic effects, personalized",Your Pet Deserves the Future,8.2%
