action_type,file_path,filename,reason,target_file,target_filename,duplicate_type,file_size,primary_purpose,parent_folder,confidence
Remove,/Users/steven/.harbor/boost/src/main.py,main.py,Same filename as main.py - keep larger version,/Users/steven/.harbor/parler/main.py,main.py,Same Filename Duplicate,5706,Utility,src,High
Remove,/Users/steven/.harbor/agent/src/main.py,main.py,Same filename as main.py - keep larger version,/Users/steven/.harbor/parler/main.py,main.py,Same Filename Duplicate,2618,Utility,src,High
Remove,/Users/steven/.harbor/boost/src/modules/mcts.py,mcts.py,Same filename as mcts.py - keep larger version,/Users/steven/.harbor/open-webui/extras/mcts.py,mcts.py,Same Filename Duplicate,11023,Utility,modules,High
Remove,/Users/steven/.harbor/agent/src/config.py,config.py,Same filename as config.py - keep larger version,/Users/steven/.harbor/boost/src/config.py,config.py,Same Filename Duplicate,5590,Configuration,src,High
Remove,/Users/steven/.harbor/agent/src/chat_node.py,chat_node.py,Same filename as chat_node.py - keep larger version,/Users/steven/.harbor/boost/src/chat_node.py,chat_node.py,Same Filename Duplicate,2038,Utility,src,High
Remove,/Users/steven/.harbor/agent/src/log.py,log.py,Same filename as log.py - keep larger version,/Users/steven/.harbor/boost/src/log.py,log.py,Same Filename Duplicate,414,Utility,src,High
Remove,/Users/steven/.harbor/agent/src/format.py,format.py,Same filename as format.py - keep larger version,/Users/steven/.harbor/boost/src/format.py,format.py,Same Filename Duplicate,472,Utility,src,High
Remove,/Users/steven/.harbor/agent/src/llm.py,llm.py,Same filename as llm.py - keep larger version,/Users/steven/.harbor/boost/src/llm.py,llm.py,Same Filename Duplicate,8350,Utility,src,High
Remove,/Users/steven/.harbor/agent/src/chat.py,chat.py,Same filename as chat.py - keep larger version,/Users/steven/.harbor/boost/src/chat.py,chat.py,Same Filename Duplicate,2430,Utility,src,High
Remove,/Users/steven/.harbor/ktransformers/chat.py,chat.py,Same filename as chat.py - keep larger version,/Users/steven/.harbor/boost/src/chat.py,chat.py,Same Filename Duplicate,1878,Utility,ktransformers,High
Remove,/Users/steven/.harbor/boost/src/main.py,main.py,Similar to main.py - consolidate variants,/Users/steven/.harbor/parler/main.py,main.py,Similar Name Variant,5706,Utility,src,Medium
Remove,/Users/steven/.harbor/agent/src/main.py,main.py,Similar to main.py - consolidate variants,/Users/steven/.harbor/parler/main.py,main.py,Similar Name Variant,2618,Utility,src,Medium
Remove,/Users/steven/.harbor/agent/src/chat.py,chat.py,Similar to chat.py - consolidate variants,/Users/steven/.harbor/boost/src/chat.py,chat.py,Similar Name Variant,2430,Utility,src,Medium
Remove,/Users/steven/.harbor/ktransformers/chat.py,chat.py,Similar to chat.py - consolidate variants,/Users/steven/.harbor/boost/src/chat.py,chat.py,Similar Name Variant,1878,Utility,ktransformers,Medium
Remove,/Users/steven/.claude-worktrees/pythons/busy-liskov/sound.py,sound.py,Very small file - likely stub or placeholder,,,Stub File,49,Utility,busy-liskov,Low
Remove,/Users/steven/.claude-worktrees/pythons/busy-liskov/sound.py,sound.py,"Empty/minimal file (4 lines, 49 bytes)",,,Empty File,49,Utility,busy-liskov,High
Remove,/Users/steven/.harbor/agent/src/config.py,config.py,Duplicate config file - keep config.py,/Users/steven/.harbor/boost/src/config.py,config.py,Config Duplicate,5590,Configuration,src,Medium
Remove,/Users/steven/.harbor/shared/json_config_merger.py,json_config_merger.py,Duplicate config file - keep config.py,/Users/steven/.harbor/boost/src/config.py,config.py,Config Duplicate,4638,Configuration,shared,Medium
Remove,/Users/steven/.harbor/shared/yaml_config_merger.py,yaml_config_merger.py,Duplicate config file - keep config.py,/Users/steven/.harbor/boost/src/config.py,config.py,Config Duplicate,2815,Configuration,shared,Medium
