keyword,frequency,category,priority
Ai,11,Technical Tool,HIGH
Comfyui,2,Technical Tool,MEDIUM
Automation,2,Technical Tool,MEDIUM
Photoshop,1,Technical Tool,MEDIUM
Nano Banana,1,Technical Tool,MEDIUM
Python,1,Technical Tool,MEDIUM
Video,3,General Skill,MEDIUM
Videos,2,General Skill,MEDIUM
Images,2,General Skill,MEDIUM
Avatar,2,General Skill,MEDIUM
Workflow,2,General Skill,MEDIUM
Creation,2,General Skill,MEDIUM
Tiktok,1,General Skill,MEDIUM
Editing,1,General Skill,MEDIUM
Lingerie,1,General Skill,MEDIUM
Wav,1,General Skill,MEDIUM
File,1,General Skill,MEDIUM
Extraction,1,General Skill,MEDIUM
Website,1,General Skill,MEDIUM
Image,1,General Skill,MEDIUM
